Dataset Size 1000,,,,,,,,Dataset Size 5000,,,,
,20%,40%,60%,80%,,,,,20%,40%,60%,80%
Transposition Error,,,,,,,,Transposition Error,,,,
KNN,,,,,,,,KNN,,,,
Logisitic,,,,,,,,Logisitic,,,,
SVM,,,,,,,,SVM,,,,
NNET,,,,,,,,NNET,,,,
K Means Clustering,,,,,,,,K Means Clustering,,,,
Hierarchial Clustering,,,,,,,,Hierarchial Clustering,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,20%,40%,60%,80%,,,,,20%,40%,60%,80%
Transcription Error,,,,,,,,Transcription Error,,,,
KNN,,,,,,,,KNN,,,,
Logisitic,,,,,,,,Logisitic,,,,
SVM,,,,,,,,SVM,,,,
NNET,,,,,,,,NNET,,,,
K Means Clustering,,,,,,,,K Means Clustering,,,,
Hierarchial Clustering,,,,,,,,Hierarchial Clustering,,,,
